l;X3;Y
1;4;28000
2;4;35000
3;12;50000
4;2;35000
5;7;30000
6;3;45000
7;4;26000
8;5;25000
9;4;30000
10;2;35000
11;10;40000
12;9;40000
13;5;45000
14;15;90000
15;5;15000
16;24;17500
17;1;15000
18;5;21000
19;5;23000
20;3;20000
21;4;23000
22;2;20000
23;16;20000
24;11;23000
25;4;23000
26;9;28000
27;1;20000
28;17;25000
29;19;30000
30;5;30000
31;4;25000
32;4;25000
33;7;27000
34;10;28000
35;15;29000
36;23;28000
37;14;30000
38;5;35000
39;21;31000
40;4;30000
41;3;35000
42;15;40000
43;14;35000
44;10;40000
45;11;40000
46;22;45000
47;10;45000
48;7;47000
49;15;50000
50;3;49000
51;4;50000
52;25;50000
53;23;55000
54;3;60000
55;8;60000
56;4;55000
57;5;75000
58;6;75000
59;4;80000
60;3;80000
61;9;90000
62;9;90000
63;5;80000
64;1;12000
65;1;14500
66;1;15000
67;5;15000
68;6;13000
69;2;14000
70;6;12990
71;1;18000
72;13;18000
73;6;19000
74;6;15000
75;1;20000
76;5;15000
77;5;22000
78;7;20000
79;10;20000
80;2;20000
81;9;23000
82;20;22000
83;1;22000
84;2;25000
85;5;25000
86;5;20000
87;9;25000
88;4;25000
89;6;25000
90;11;25000
91;2;25000
92;2;25000
93;8;25000
94;10;23000
95;2;22000
96;19;24000
97;2;23000
98;3;25000
99;6;20000
100;3;30000
