;X1;X2;Y
1;164.08;466.15;3
2;623.97;438.75;1
3;318.69;427.05;2
4;456.06;123.2;2
5;553.95;575.25;1
6;443.32;451.78;2
7;612.04;449.34;1
8;396.58;576.12;3
9;126.01;241.26;2
10;680.93;405.54;1
11;271.65;543.95;3
12;141.89;254.49;2
13;310.35;743.65;3
14;591.43;476.28;1
15;254.01;434.87;2
16;614.93;555.28;1
17;671.39;508.14;1
18;391.33;419.4;2
19;550.38;588.06;1
20;342.46;361.03;2
21;109.89;395.5;2
22;473.52;607.38;1
23;163.59;588.63;3
24;226.03;650.66;3
25;154.0;201.92;2
26;361.21;444.63;2
27;669.21;414.34;1
28;144.53;406.45;2
29;647.43;605.7;1
30;265.83;264.53;2
31;338.56;592.27;3
32;181.11;572.18;3
33;215.84;463.02;3
34;174.25;631.09;3
35;430.5;495.31;1
36;317.38;727.79;3
37;445.92;480.0;1
38;433.57;614.4;1
39;371.25;467.81;3
40;386.6;643.88;3
41;435.54;559.98;3
42;382.67;491.84;3
43;440.91;372.53;2
44;292.05;144.3;2
45;372.29;470.17;2
46;410.67;170.38;2
47;428.51;469.9;3
48;300.78;242.13;2
49;416.23;573.48;3
50;195.73;695.83;3
51;153.68;742.66;3
52;255.52;712.69;3
53;633.68;356.9;1
54;705.81;578.69;1
55;326.93;271.25;2
56;495.2;325.02;2
57;403.93;609.31;3
58;537.2;588.57;1
59;152.73;463.92;3
60;447.1;145.13;2
61;598.88;419.15;1
62;382.1;125.36;2
63;631.31;456.84;1
64;180.58;724.03;3
65;143.53;351.97;2
66;473.73;623.27;1
67;300.95;431.1;2
68;232.86;473.11;2
69;690.47;601.19;1
70;150.4;221.92;2
71;607.43;418.03;1
72;297.67;747.56;3
73;350.18;481.66;3
74;486.62;426.03;1
75;363.15;170.06;2
76;163.63;491.15;3
77;423.43;694.95;3
78;328.01;154.42;2
79;278.94;581.79;3
80;152.79;149.75;2
81;398.14;579.95;3
82;444.29;133.35;2
83;288.53;636.3;3
84;333.42;550.66;3
85;320.99;129.86;2
86;714.73;555.14;1
87;188.97;534.51;3
88;449.94;726.94;3
89;149.63;376.97;2
90;119.19;204.57;2
91;318.27;243.82;2
92;212.89;605.95;3
93;372.68;313.08;2
94;402.11;110.85;2
95;438.57;514.37;1
96;407.69;279.41;2
97;373.61;405.2;2
98;242.48;744.49;3
99;374.11;733.28;3
100;678.29;381.63;1
101;187.14;331.37;2
102;544.95;613.74;1
103;288.08;712.5;3
104;627.62;568.52;1
105;432.17;378.11;1
106;254.52;555.29;3
107;599.48;415.21;1
108;295.3;538.93;3
109;433.67;219.13;2
110;115.91;165.91;2
111;362.82;662.79;3
112;337.98;654.99;3
113;296.65;563.02;3
114;620.58;491.24;1
115;333.02;705.29;3
116;484.3;509.27;1
117;155.37;173.94;2
118;442.99;456.68;1
119;538.51;602.79;1
120;351.33;739.82;3
121;658.17;387.79;1
122;349.98;455.87;3
123;698.49;417.72;1
